UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm2.5_aqi_atm,pm2.5_aqi_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm2.5_aqi_atm_b,pm2.5_aqi_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2020/02/12T22:57:59z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,65,34,36,971.34,nan,36656,0,116,3.3,4.68,7.72,3.3,4.68,7.72,19,19,688.86,202.18,32.62,6.4,3.3,3.3,1.62,1.74,7.57,1.62,1.74,7.57,7,7,469.4,135.28,19.23,14.47,2.94,2.34,
2020/02/12T22:59:59z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,65,35,36,971.41,0.04,36568,0,236,3.28,5.66,6.78,3.28,5.66,6.78,24,24,708.09,209.72,39.82,3.85,1.52,1.16,2.04,2.88,8,2.04,2.88,8,12,12,610.39,163.67,24.09,13.94,3.58,1.46,
2020/02/12T23:01:59z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,66,35,38,971.29,0.04,36568,0,356,2.34,3.44,4.71,2.34,3.44,4.71,14,14,552.93,159.65,21.72,4.57,1.24,0.88,1.39,2.26,9.86,1.39,2.26,9.86,9,9,524.39,143.49,33.78,18.64,3.3,2.49,
2020/02/12T23:03:59z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,66,34,36,971.27,0.04,36568,0,476,2.63,3.7,4.49,2.63,3.7,4.49,15,15,583.16,164.33,19.63,3.76,0.77,0.77,2.55,3.45,9.75,2.55,3.45,9.75,14,14,704.55,185.3,32.04,17.19,3.64,0.81,
2020/02/12T23:05:59z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,35,39,971.24,0.04,36568,0,596,5.51,12.59,25.26,5.03,10.42,19.67,52,43,1228,365.42,107.58,31.97,13.62,10.65,9.78,16.15,31.67,8.91,14.1,25.66,60,55,3103.34,669.3,99.91,38.27,14.42,9.81,
2020/02/12T23:07:59z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,33,38,971.34,0.04,36568,0,716,2.06,3.21,4.97,2.06,3.21,4.97,13,13,569.15,161.48,21.85,4.04,1.94,1.55,2.68,4.63,10.63,2.68,4.63,10.63,19,19,736.99,200.07,40.97,17.41,1.85,1.62,
2020/02/12T23:09:59z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,34,38,971.27,0.04,36568,0,836,2.45,3.34,4.12,2.45,3.34,4.12,14,14,625.3,172.06,19.19,1.97,0.84,0.3,3.63,5.44,11.76,3.63,5.44,11.76,23,23,847.19,236.49,39.84,17.76,1.5,1.24,
2020/02/12T23:11:59z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,32,37,971.28,0.04,36568,0,956,2.84,3.99,6.44,2.84,3.99,6.44,17,17,697.29,193.2,27.73,5.94,3.03,2.34,5.49,8.22,14.52,5.49,8.22,14.52,34,34,1187.77,322.85,47.38,17.32,2.31,0.95,
2020/02/12T23:13:59z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,33,37,971.3,0.04,36568,0,1076,2.29,3.49,4.23,2.29,3.49,4.23,15,15,573.91,162.65,24.87,1.74,0.84,0.84,4.37,6.32,12.12,4.37,6.32,12.12,26,26,961.54,266.57,43.87,16.71,1.68,0.44,
2020/02/12T23:15:59z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,33,37,971.26,0.04,36568,0,1196,1.94,2.84,3.64,1.94,2.84,3.64,12,12,570.52,162.14,16.88,2.84,1.1,0.35,3.16,4.2,10.07,3.16,4.2,10.07,17,17,723.21,198.47,33.8,15.86,2.14,1.29,
2020/02/12T23:17:55z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,33,38,971.28,nan,36656,0,116,1.31,2.35,4.12,1.31,2.35,4.12,10,10,498.24,139.04,20.71,4.76,1.69,1.69,3.55,4.24,10.04,3.55,4.24,10.04,18,18,795.37,214.24,30.65,14,2.98,1.59,
2020/02/12T23:19:55z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,32,37,971.27,0.04,36256,0,236,1.69,2.7,3.93,1.69,2.7,3.93,11,11,512.46,145,19.06,3.34,1.49,0.96,3.59,5.12,11.32,3.59,5.12,11.32,21,21,824.57,229.01,37.65,16.87,2.23,1.01,
2020/02/12T23:21:55z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,32,37,971.29,0.04,36568,0,356,2.19,3.2,4.93,2.19,3.2,4.93,13,13,517.33,151.44,21.54,4.01,1.8,1.63,3.14,3.8,9.41,3.14,3.8,9.41,16,16,722.91,196.26,28.72,15.04,2.14,0.9,
2020/02/12T23:23:55z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,67,32,36,971.33,0.04,36568,0,476,2.9,3.61,4.13,2.9,3.61,4.13,15,15,635.01,175.03,19.09,1.86,0.6,0.43,5.03,6.5,12.56,5.03,6.5,12.56,27,27,1026.27,277.89,35.82,15.91,2.73,1.06,
2020/02/12T23:25:55z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,67,32,36,971.25,0.04,36568,0,596,2.5,3.44,3.94,2.5,3.44,3.94,14,14,625.24,168.7,21.84,1.49,0.43,0.43,4.93,6.59,12.75,4.93,6.59,12.75,27,27,1064.96,287.06,36.54,17.09,2.26,0.94,
2020/02/12T23:27:55z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,67,33,37,971.21,0.04,36568,0,716,2.3,3.31,3.31,2.3,3.31,3.31,14,14,561.72,151.75,21.4,0.66,0,0,3.21,4.78,12.31,3.21,4.78,12.31,20,20,792.18,212.34,43.28,20.68,2.97,1.65,
2020/02/12T23:29:55z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,67,33,37,971.22,0.04,36568,0,836,2.21,3.16,4.15,2.21,3.16,4.15,13,13,544.1,160.66,23.71,2.44,1.09,0.74,3.58,5.57,11.91,3.58,5.57,11.91,23,23,871.65,236.93,39.51,18.12,2.32,1.59,
2020/02/12T23:31:55z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,67,33,37,971.21,0.04,36568,0,956,1.89,2.99,3.21,1.89,2.99,3.21,12,12,523.16,154.99,18.91,1.94,0.17,0.17,3.78,4.99,10.34,3.78,4.99,10.34,21,21,864.22,233.96,34.31,15.97,0.85,0.47,
2020/02/12T23:33:55z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,67,34,37,971.19,0.04,36568,0,1076,2.12,3.74,5.85,2.12,3.74,5.85,16,16,517.01,154.47,29.47,5.82,2.75,1.37,2.71,3.68,11.65,2.71,3.68,11.65,15,15,678.09,195.06,33.88,20.09,4.5,3.5,
2020/02/12T23:35:55z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,67,33,37,971.2,0.04,36568,0,1196,1.65,2.7,3.79,1.65,2.7,3.79,11,11,486.91,134.83,19.29,3.83,0.58,0.58,2.49,3.93,10.43,2.49,3.93,10.43,16,16,681.61,182.09,38.35,18.26,2.87,0.75,
2020/02/12T23:37:51z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,67,34,37,971.21,nan,36656,0,115,2.14,3.53,4.92,2.14,3.53,4.92,15,15,639.71,167,23.9,6,1.69,1.18,3.17,3.77,10.69,3.17,3.77,10.69,16,16,687,191.85,33.04,17.62,3.71,1.25,
2020/02/12T23:39:51z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,63,34,34,968.14,0.04,36504,0,235,2.13,3.13,4.19,2.13,3.13,4.19,13,13,553.9,147.56,19.91,3.74,1.35,1.35,4.47,5.79,12.07,4.47,5.79,12.07,24,24,951.26,257.84,35.44,18.38,1.94,0.76,
2020/02/12T23:41:51z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,66,34,37,971.26,0.04,36504,0,355,1.83,3.23,4.13,1.83,3.23,4.13,13,13,535.82,147.07,19.11,5.31,0.39,0.39,4.34,5.56,11.85,4.34,5.56,11.85,23,23,884.34,249.29,35.6,16.94,1.94,0.82,
2020/02/12T23:43:51z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,67,34,38,971.2,0.04,36504,0,475,1.85,3.12,3.93,1.85,3.12,3.93,13,13,507.17,145.36,22,1.85,0.75,0.75,4.12,5.79,11.53,4.12,5.79,11.53,24,24,930.64,254.61,37.76,16.24,1.58,0.91,
2020/02/12T23:45:51z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,66,34,37,971.18,0.04,36504,0,595,1.77,3.74,4.71,1.77,3.74,4.71,16,16,504.39,143.57,27,4.44,0.97,0.97,3.28,5.28,11.26,3.28,5.28,11.26,22,22,779.39,212.93,41.57,17.65,2.52,1.42,
2020/02/12T23:47:51z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,66,33,36,971.27,0.04,36504,0,715,2.17,2.74,3.53,2.17,2.74,3.53,11,11,530.14,156.05,14.45,1.67,0.88,0.42,3.13,4.81,11.51,3.13,4.81,11.51,20,20,786.49,219.82,38.78,18.12,2.18,1.12,
2020/02/12T23:49:51z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,66,34,36,971.21,0.04,36504,0,835,2.21,3.56,3.87,2.21,3.56,3.87,15,15,547.59,159.93,24.43,2.46,0,0,4.49,6.1,12.71,4.49,6.1,12.71,25,25,955.06,269.19,37.16,20.76,2.38,0.56,
2020/02/12T23:51:51z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,66,33,36,971.15,0.04,36504,0,955,2.2,3.29,3.76,2.2,3.29,3.76,14,14,579.43,167.33,20.7,1.89,0.34,0.34,4.66,7.23,14.83,4.66,7.23,14.83,30,30,1110.65,302.37,50.54,22.03,3.38,1.45,
2020/02/12T23:53:51z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,66,34,37,971.22,0.04,36504,0,1075,2.52,4.7,5.9,2.52,4.7,5.9,20,20,591.43,178.71,26.77,5.06,1.28,0.61,4.25,6.81,13.57,4.25,6.81,13.57,28,28,965.56,268.6,44.49,18.68,2,1.29,
2020/02/12T23:55:51z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,66,34,36,971.18,0.04,36504,0,1195,2.17,3.77,5.41,2.17,3.77,5.41,16,16,564.73,163.13,25.73,5.69,1.2,0.94,3.54,5.22,11.04,3.54,5.22,11.04,22,22,827.65,222.78,37.97,16.7,1.91,1.3,
2020/02/12T23:57:47z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,66,34,37,971.17,nan,36656,0,115,2.63,3.78,4.96,2.63,3.78,4.96,16,16,560.29,167,23.8,4.67,1.18,0.39,3.17,4.85,11.36,3.17,4.85,11.36,20,20,820.79,220.96,40.32,19.53,2.47,0.81,
2020/02/12T23:59:47z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,65,34,36,971.16,0.04,36568,0,235,1.63,3.07,3.78,1.63,3.07,3.78,13,13,573.85,162.87,18.87,5.43,0.24,0.24,4.99,6.87,13.4,4.99,6.87,13.4,29,29,1061.31,293.46,41.17,17.94,2.37,1.37,
2020/02/13T00:01:47z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,65,34,36,971.12,0.04,36568,0,355,1.97,3.35,3.59,1.97,3.35,3.59,14,14,506.2,143.31,20.44,3.89,0,0,4.58,6.94,14.3,4.58,6.94,14.3,29,29,943.61,267.12,44.65,18.09,5.74,1.71,
2020/02/13T00:03:47z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,65,34,36,971.16,0.04,36568,0,475,2.01,3.21,4.76,2.01,3.21,4.76,13,13,570.3,155.43,25.17,4.94,0.83,0.4,5.85,7.83,14.06,5.85,7.83,14.06,33,33,1176.65,324.77,43.57,16.98,2.95,0.52,
2020/02/13T00:05:47z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,65,34,36,971.15,0.04,36568,0,595,2.22,4.04,4.18,2.22,4.04,4.18,17,17,570.66,165.37,29.63,3.29,0,0,5.18,7.42,12.92,5.18,7.42,12.92,31,31,1032.55,292.76,41.56,17.64,0.45,0,
2020/02/13T00:07:47z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,65,35,36,971.14,0.04,36568,0,715,2.09,2.51,2.94,2.09,2.51,2.94,10,10,521.91,145.19,13.81,1.44,0.41,0,4.01,5.37,12.52,4.01,5.37,12.52,22,22,903.3,246.08,37.73,19.44,3.01,1.72,
2020/02/13T00:09:47z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,65,34,36,971.14,0.04,36568,0,835,2.32,4.01,5.48,2.32,4.01,5.48,17,17,558.61,161.65,28.25,5.13,1.86,0.52,4.4,5.59,13.5,4.4,5.59,13.5,23,23,1042.37,279.01,39.96,19.97,4.56,2.06,
