Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet
2/12/2020 14:55,,,3.3,21.5,32.4,4.3,Sample
2/12/2020 14:56,21.9,0,3.4,21.42,31.6,3.8,Sample
2/12/2020 14:57,0,46.2,3.2,21.05,31.7,3.6,Sample
2/12/2020 14:58,0,44.3,3.1,20.51,32,3.2,Sample
2/12/2020 14:59,2.4,35.7,3,20.42,34.2,4.1,Sample
2/12/2020 15:00,38.5,11.9,3.3,20.45,33.6,3.9,Sample
2/12/2020 15:01,17.3,29.5,4.3,20.4,32.4,3.3,Sample
2/12/2020 15:02,5.7,40.4,3.2,20.33,33.4,3.7,Sample
2/12/2020 15:03,9.5,38.9,2.7,20.2,33.1,3.4,Sample
2/12/2020 15:04,8.2,40,2.8,20.28,32.6,3.3,Sample
2/12/2020 15:05,8.4,40.4,3,20.26,32.1,3,Sample
2/12/2020 15:06,9.1,40.4,2.8,20.28,32.4,3.2,Sample
2/12/2020 15:07,9.7,41.9,2.8,19.84,31.3,2.3,Sample
2/12/2020 15:08,6.7,32.5,5.8,19.72,58.4,11.3,Sample
2/12/2020 15:09,45.2,0,3.1,20.17,76,15.8,Sample
2/12/2020 15:10,50.7,0,2.7,21.41,83.5,18.5,Sample
2/12/2020 15:11,50.5,0.9,15.1,23.19,93.8,22.1,Sample
2/12/2020 15:12,64.1,0,13.2,23.49,68.1,17.3,Sample
2/12/2020 15:13,33.3,9.7,17.4,23.13,42.2,9.6,Sample
2/12/2020 15:14,4.8,18.5,2.8,22.33,54.6,12.7,Sample
2/12/2020 15:15,22.9,11,2.6,22.21,57.1,13.3,Sample
2/12/2020 15:16,28.5,8.8,7.9,22.23,72,16.9,Sample
2/12/2020 15:17,72.4,0,16.8,22.55,81.4,19.2,Sample
2/12/2020 15:18,109.8,0,5.7,22.71,74.8,18,Sample
2/12/2020 15:19,55.5,19.9,8.5,23.28,84.7,20.6,Sample
2/12/2020 15:20,50.2,0,9.9,23.36,44.9,10.7,Sample
2/12/2020 15:21,11.8,22.4,4.5,22.91,60.8,14.9,Sample
2/12/2020 15:22,38.8,14.9,7.2,23.33,62,15.6,Sample
2/12/2020 15:23,28.8,0,2.7,23.17,33,6,Sample
