Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet
2/12/2020 15:24,0,45,2.8,22.66,32,5.1,Sample
2/12/2020 15:25,0,44.2,2.7,22.18,30.9,4.2,Sample
2/12/2020 15:26,32.7,23.6,2.7,22.26,31.5,4.5,Sample
2/12/2020 15:27,44.7,19.8,2.4,22.44,31.2,4.5,Sample
2/12/2020 15:28,24.3,41.3,2.7,22.42,30.8,4.4,Sample
2/12/2020 15:29,14.9,48.8,2.4,21.93,30.7,3.9,Sample
2/12/2020 15:30,17.7,46.2,2.4,21.78,31.6,4.2,Sample
2/12/2020 15:31,17.3,47.4,2.4,21.78,31.4,4.1,Sample
2/12/2020 15:32,19.1,45.7,2.8,21.42,31.4,3.7,Sample
2/12/2020 15:33,12,41.7,4.9,21.15,50.8,10.5,Sample
2/12/2020 15:34,58.2,6.1,2.4,21.03,34.5,4.8,Sample
2/12/2020 15:35,3.1,48.5,2.4,21.01,54.6,11.5,Sample
2/12/2020 15:36,29.2,28.1,3.2,21.75,53.4,11.9,Sample
2/12/2020 15:37,55.2,0.5,43.9,22.32,59.3,14,Sample
2/12/2020 15:38,43.6,17.5,26.8,22.56,57.3,13.7,Sample
2/12/2020 15:39,48.5,4.8,29.8,22.95,70.1,17.2,Sample
2/12/2020 15:40,57.3,2,15.2,23.01,39.5,8.5,Sample
2/12/2020 15:41,0.9,39.8,13.1,22.53,34.1,5.9,Sample
2/12/2020 15:42,0,46.2,29.2,22.32,74.4,17.5,Sample
2/12/2020 15:43,64.7,0,103.1,22.73,66.5,16.2,Sample
2/12/2020 15:44,22.9,35,90.6,23.05,57.9,14.3,Sample
2/12/2020 15:45,22.7,4.6,35.8,22.67,52.6,12.5,Sample
2/12/2020 15:46,0,34.8,71.8,22.58,56.4,13.5,Sample
2/12/2020 15:47,17.6,7.9,24.2,22.16,40.7,8.2,Sample
2/12/2020 15:48,0,39.5,2.4,21.32,31.7,3.8,Sample
2/12/2020 15:49,0,52.8,2.3,20.83,31.9,3.5,Sample
2/12/2020 15:50,2,50.3,2.4,20.57,31.9,3.2,Sample
2/12/2020 15:51,12.5,47.7,2.3,20.33,32,3.1,Sample
2/12/2020 15:52,20.7,47.4,2.3,19.91,32.1,2.8,Sample
2/12/2020 15:53,27.5,42.4,2.2,19.37,33.7,3,Sample
2/12/2020 15:54,27.8,42.8,2.3,18.96,34.1,2.8,Sample
2/12/2020 15:55,27.2,43,2.2,18.9,34.5,2.9,Sample
2/12/2020 15:56,24.2,45,2.5,18.9,34.6,2.9,Sample
2/12/2020 15:57,18,48.5,2.6,18.83,34.4,2.8,Sample
2/12/2020 15:58,14.5,49.2,2.8,18.86,34.5,2.9,Sample
2/12/2020 15:59,11.1,46.6,2.6,19.36,38.3,4.8,Sample
2/12/2020 16:00,6.9,45.1,2.5,20.08,43.7,7.3,Sample
2/12/2020 16:01,31.7,21.4,4,21.04,60.6,13.1,Sample
2/12/2020 16:02,49.3,5.5,56.1,22.33,90.1,20.6,Sample
2/12/2020 16:03,59.5,0,70.2,23.15,74.9,18.5,Sample
2/12/2020 16:04,47.8,1.1,7.2,23.38,35.1,7.1,Sample
2/12/2020 16:05,0,48.6,89.6,22.81,43.1,9.6,Sample
2/12/2020 16:06,11.9,36.4,80.5,22.9,63.6,15.6,Sample
2/12/2020 16:07,41.9,0,90.9,22.5,44.4,9.8,Sample
2/12/2020 16:08,1.4,43.8,151.4,22.6,86.3,20.2,Sample
2/12/2020 16:09,83.2,0,31,22.4,38.6,7.6,Sample
2/12/2020 16:10,0,45.7,32.3,21.76,38.5,7,Sample
2/12/2020 16:11,0,48.4,42.1,21.08,37,5.8,Sample
2/12/2020 16:12,17.2,33,75.4,21.39,71.4,16,Sample
2/12/2020 16:13,39.3,20.3,2.4,21.71,35.3,5.7,Sample
2/12/2020 16:14,0,43.3,2.5,21.67,31.8,4.2,Sample
2/12/2020 16:15,0,51.7,2.5,21.28,31.3,3.6,Sample
2/12/2020 16:16,2.7,49.5,2.5,20.76,31.3,3.1,Sample
2/12/2020 16:17,11.6,48.1,2.7,20.58,32.4,3.5,Sample
2/12/2020 16:18,20.1,46.8,2.7,20.85,32.7,3.8,Sample
2/12/2020 16:19,17.5,46.9,2.4,21,32.1,3.7,Sample
2/12/2020 16:20,17.3,48.1,2.2,20.53,31,2.8,Sample
2/12/2020 16:21,16.7,48.3,2.2,20.12,31.9,2.8,Sample
2/12/2020 16:22,18.1,47.8,2.9,19.9,32.6,3,Sample
2/12/2020 16:23,19.3,46.3,3.3,19.75,33.5,3.2,Sample
2/12/2020 16:24,21.4,44.1,2.7,19.92,32.6,3,Sample
2/12/2020 16:25,19.8,43.9,2.5,20.27,32.9,3.4,Sample
2/12/2020 16:26,14.4,47,2.2,20.56,32.4,3.5,Sample
2/12/2020 16:27,8.4,45,2.4,20.38,36.9,5.2,Sample
2/12/2020 16:28,17.7,42.7,2.3,19.87,32.7,3,Sample
2/12/2020 16:29,11.9,47.9,2.2,19.24,32.9,2.5,Sample
2/12/2020 16:30,8.3,50.9,2.5,18.64,33.8,2.4,Sample
2/12/2020 16:31,9.8,48.4,2.1,18.2,37.6,3.5,Sample
2/12/2020 16:32,33.1,25.5,2.3,18,39.7,4.1,Sample
2/12/2020 16:33,21.2,36.1,4.1,17.83,36.7,2.8,Sample
2/12/2020 16:34,7.5,47.8,2.4,17.62,36.2,2.4,Sample
2/12/2020 16:35,10.4,44.5,3.2,17.43,39.8,3.6,Sample
2/12/2020 16:36,22.7,40.6,2.5,17.34,39.8,3.5,Sample
2/12/2020 16:37,17.4,41.6,6.9,17.33,45.3,5.4,Sample
2/12/2020 16:38,18.1,38.8,8.8,17.3,43.3,4.7,Sample
2/12/2020 16:39,33.6,28,6.2,17.3,43.5,4.7,Sample
2/12/2020 16:40,26.2,32.4,6.3,17.3,43.7,4.8,Sample
2/12/2020 16:41,24.1,36.9,4.2,17.23,40.4,3.6,Sample
2/12/2020 16:42,26,29.5,4.6,17.13,43,4.4,Sample
2/12/2020 16:43,17.3,32.6,2.2,17.02,38.4,2.7,Sample
2/12/2020 16:44,0,50.3,3.3,16.89,37.9,2.4,Sample
2/12/2020 16:45,0,48.1,5.5,16.8,43.4,4.3,Sample
2/12/2020 16:46,23.4,20.4,15.3,16.97,56.4,8.2,Sample
2/12/2020 16:47,58.8,2.5,2.8,17.24,43.2,4.6,Sample
2/12/2020 16:48,6.2,43,2.6,17.47,37.5,2.8,Sample
2/12/2020 16:49,0,56.2,2.5,17.49,36.8,2.6,Sample
2/12/2020 16:50,0,50.4,2.2,17.29,37.1,2.5,Sample
2/12/2020 16:51,7.6,48.1,2.5,17.06,37.3,2.4,Sample
2/12/2020 16:52,13.9,48.7,2.6,16.77,37.5,2.2,Sample
2/12/2020 16:53,13,49.1,2.6,16.51,37.6,2,Sample
2/12/2020 16:54,11.7,50.1,2.5,16.31,38,1.9,Sample
2/12/2020 16:55,41.8,23.8,2.7,16.18,38,1.8,Sample
2/12/2020 16:56,67.1,0,2.9,16.08,38.8,2.1,Sample
2/12/2020 16:57,48.7,16.5,2.4,16.02,38.9,2,Sample
