Harvey Mudd College · AQY BD-1161 (AQY BD-1161)
Data export
3/30/2020 12:00 AM to 3/31/2020 12:00 AM
(UTC-08:00) Pacific Time (US & Canada) (Summer time adjusted)
Averaging period: Raw data

Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet,Journal category,Created by,Details
2020/03/30 00:00:00,11.8,19.0,4.2,10.10,73.6,5.6,Sample,,,
2020/03/30 00:01:00,13.0,18.8,4.3,10.08,73.2,5.5,Sample,,,
2020/03/30 00:02:00,14.6,17.7,4.3,10.02,72.9,5.4,Sample,,,
2020/03/30 00:03:00,13.6,18.4,4.3,9.93,73.3,5.4,Sample,,,
2020/03/30 00:04:00,11.5,19.6,4.1,9.87,74.3,5.5,Sample,,,
2020/03/30 00:05:00,10.7,20.5,3.8,9.80,74.5,5.5,Sample,,,
2020/03/30 00:06:00,10.8,20.2,3.8,9.79,74.5,5.5,Sample,,,
2020/03/30 00:07:00,10.0,20.7,3.7,9.79,74.2,5.4,Sample,,,
2020/03/30 00:08:00,9.0,21.2,3.6,9.78,74.1,5.4,Sample,,,
2020/03/30 00:09:00,9.6,20.0,3.5,9.80,73.9,5.4,Sample,,,
2020/03/30 00:10:00,11.0,17.9,3.4,9.80,74.0,5.4,Sample,,,
2020/03/30 00:11:00,10.8,17.3,3.4,9.79,74.4,5.5,Sample,,,
2020/03/30 00:12:00,8.5,19.1,3.2,9.72,74.0,5.3,Sample,,,
2020/03/30 00:13:00,7.7,19.7,3.6,9.70,73.8,5.2,Sample,,,
2020/03/30 00:14:00,10.3,17.6,3.6,9.63,74.6,5.3,Sample,,,
2020/03/30 00:15:00,12.0,16.4,3.6,9.52,74.7,5.3,Sample,,,
2020/03/30 00:16:00,12.5,15.8,3.7,9.43,75.1,5.2,Sample,,,
2020/03/30 00:17:00,13.1,14.4,3.6,9.40,75.5,5.3,Sample,,,
2020/03/30 00:18:00,12.7,13.0,3.5,9.38,75.9,5.3,Sample,,,
2020/03/30 00:19:00,7.5,17.5,3.5,9.39,76.1,5.4,Sample,,,
2020/03/30 00:20:00,6.5,19.4,3.3,9.44,75.9,5.4,Sample,,,
