Harvey Mudd College · AQY BD-1161 (AQY BD-1161)
Data export
4/19/2020 12:00 AM to 4/20/2020 12:00 AM
(UTC-08:00) Pacific Time (US & Canada) (Summer time adjusted)
Averaging period: Raw data

Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet,Journal category,Created by,Details
2020/04/19 00:00:00,10.0,25.6,3.7,12.82,72.8,8.1,Sample,,,
2020/04/19 00:01:00,11.3,23.9,3.9,12.80,73.0,8.1,Sample,,,
2020/04/19 00:02:00,12.5,23.6,3.8,12.81,73.2,8.1,Sample,,,
2020/04/19 00:03:00,10.8,25.2,3.9,12.80,72.9,8.1,Sample,,,
2020/04/19 00:04:00,11.3,23.7,3.8,12.80,73.0,8.1,Sample,,,
2020/04/19 00:05:00,10.9,24.1,3.7,12.80,73.2,8.1,Sample,,,
2020/04/19 00:06:00,9.9,24.7,3.8,12.80,72.9,8.1,Sample,,,
2020/04/19 00:07:00,10.3,22.8,3.9,12.82,73.2,8.1,Sample,,,
2020/04/19 00:08:00,10.9,20.8,4.0,12.85,73.5,8.2,Sample,,,
2020/04/19 00:09:00,10.5,21.1,4.1,12.90,73.8,8.3,Sample,,,
2020/04/19 00:10:00,9.2,23.4,4.1,12.90,73.5,8.3,Sample,,,
2020/04/19 00:11:00,9.4,22.4,4.1,12.89,73.4,8.2,Sample,,,
2020/04/19 00:12:00,11.1,20.1,4.3,12.90,73.5,8.3,Sample,,,
2020/04/19 00:13:00,10.5,21.8,4.0,12.90,73.3,8.2,Sample,,,
2020/04/19 00:14:00,7.4,23.9,4.0,12.89,73.4,8.3,Sample,,,
2020/04/19 00:15:00,9.1,21.8,4.1,12.90,73.6,8.3,Sample,,,
2020/04/19 00:16:00,10.3,21.4,4.3,12.89,73.5,8.3,Sample,,,
2020/04/19 00:17:00,21.5,12.3,4.2,12.89,73.5,8.3,Sample,,,
2020/04/19 00:18:00,33.6,0.0,4.0,12.88,73.7,8.3,Sample,,,
2020/04/19 00:19:00,18.2,14.9,4.1,12.89,73.9,8.3,Sample,,,
2020/04/19 00:20:00,6.7,25.6,4.0,12.88,74.2,8.4,Sample,,,
2020/04/19 00:21:00,9.9,21.6,3.9,12.90,74.1,8.4,Sample,,,
2020/04/19 00:22:00,10.5,19.6,3.8,12.90,73.9,8.4,Sample,,,
2020/04/19 00:23:00,9.4,19.4,4.0,12.90,74.0,8.4,Sample,,,
2020/04/19 00:24:00,8.4,22.0,4.1,12.90,74.2,8.4,Sample,,,
2020/04/19 00:25:00,7.9,22.4,3.7,12.90,74.1,8.4,Sample,,,
2020/04/19 00:26:00,8.9,22.0,3.8,12.90,74.3,8.4,Sample,,,
2020/04/19 00:27:00,10.3,22.7,4.0,12.85,74.3,8.4,Sample,,,
2020/04/19 00:28:00,9.6,22.4,3.9,12.82,74.3,8.4,Sample,,,
2020/04/19 00:29:00,8.9,22.6,3.9,12.81,74.4,8.4,Sample,,,
2020/04/19 00:30:00,9.4,23.1,3.7,12.80,74.6,8.4,Sample,,,
2020/04/19 00:31:00,9.2,22.5,3.9,12.80,74.7,8.4,Sample,,,
2020/04/19 00:32:00,11.0,21.4,3.7,12.80,74.8,8.4,Sample,,,
2020/04/19 00:33:00,11.5,20.1,4.0,12.80,74.8,8.4,Sample,,,
2020/04/19 00:34:00,10.4,20.3,3.8,12.80,74.9,8.5,Sample,,,
2020/04/19 00:35:00,8.2,23.2,3.8,12.80,74.9,8.5,Sample,,,
2020/04/19 00:36:00,7.9,23.8,4.0,12.80,75.0,8.5,Sample,,,
2020/04/19 00:37:00,11.0,21.3,3.9,12.80,75.2,8.5,Sample,,,
2020/04/19 00:38:00,9.5,21.7,3.9,12.80,75.5,8.6,Sample,,,
2020/04/19 00:39:00,7.7,24.0,3.8,12.79,75.4,8.6,Sample,,,
2020/04/19 00:40:00,7.8,24.3,4.1,12.72,75.6,8.5,Sample,,,
2020/04/19 00:41:00,8.9,23.0,4.1,12.72,75.8,8.6,Sample,,,
2020/04/19 00:42:00,10.5,22.1,4.0,12.70,75.6,8.5,Sample,,,
2020/04/19 00:43:00,11.8,19.8,4.0,12.71,75.7,8.5,Sample,,,
2020/04/19 00:44:00,11.3,20.2,3.9,12.75,75.9,8.6,Sample,,,
2020/04/19 00:45:00,10.4,21.5,3.8,12.70,75.8,8.5,Sample,,,
2020/04/19 00:46:00,10.3,22.4,4.1,12.70,75.9,8.6,Sample,,,
2020/04/19 00:47:00,9.6,22.4,3.9,12.70,76.0,8.6,Sample,,,
2020/04/19 00:48:00,9.7,23.9,4.0,12.70,76.1,8.6,Sample,,,
2020/04/19 00:49:00,10.9,21.8,3.9,12.69,76.4,8.6,Sample,,,
2020/04/19 00:50:00,11.4,22.0,3.9,12.69,76.6,8.7,Sample,,,
2020/04/19 00:51:00,9.8,24.1,3.9,12.69,76.6,8.7,Sample,,,
2020/04/19 00:52:00,10.6,22.6,3.9,12.69,77.0,8.8,Sample,,,
2020/04/19 00:53:00,12.2,21.1,3.8,12.68,77.0,8.7,Sample,,,
2020/04/19 00:54:00,10.7,21.7,4.2,12.70,76.8,8.7,Sample,,,
2020/04/19 00:55:00,9.9,21.1,3.9,12.68,77.1,8.8,Sample,,,
