Harvey Mudd College · AQY BD-1161 (AQY BD-1161)
Data export
3/22/2020 12:00 AM to 3/23/2020 12:00 AM
(UTC-08:00) Pacific Time (US & Canada) (Summer time adjusted)
Averaging period: Raw data

Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet,Journal category,Created by,Details
2020/03/22 00:00:00,11.0,15.4,1.9,10.49,77.8,6.8,Sample,,,
2020/03/22 00:01:00,12.3,14.7,2.0,10.50,77.8,6.8,Sample,,,
2020/03/22 00:02:00,12.6,13.7,2.0,10.50,77.8,6.8,Sample,,,
2020/03/22 00:03:00,12.4,14.0,2.2,10.50,77.8,6.8,Sample,,,
2020/03/22 00:04:00,11.8,14.7,2.0,10.42,77.7,6.7,Sample,,,
2020/03/22 00:05:00,11.8,14.3,2.0,10.40,77.7,6.7,Sample,,,
2020/03/22 00:06:00,12.1,13.4,1.9,10.39,77.7,6.7,Sample,,,
2020/03/22 00:07:00,13.6,12.6,1.7,10.31,77.6,6.6,Sample,,,
2020/03/22 00:08:00,13.4,12.3,1.8,10.30,77.6,6.6,Sample,,,
2020/03/22 00:09:00,13.0,12.9,1.8,10.28,77.6,6.5,Sample,,,
2020/03/22 00:10:00,12.7,13.1,1.8,10.25,77.6,6.5,Sample,,,
2020/03/22 00:11:00,12.4,12.8,1.9,10.22,77.6,6.5,Sample,,,
2020/03/22 00:12:00,12.2,12.5,1.9,10.23,77.6,6.5,Sample,,,
2020/03/22 00:13:00,11.5,12.2,1.7,10.30,77.6,6.6,Sample,,,
2020/03/22 00:14:00,12.2,11.9,1.8,10.27,77.6,6.5,Sample,,,
2020/03/22 00:15:00,12.4,12.1,1.8,10.22,77.6,6.5,Sample,,,
2020/03/22 00:16:00,12.2,12.0,1.9,10.20,77.6,6.5,Sample,,,
2020/03/22 00:17:00,11.5,12.6,1.9,10.20,77.6,6.5,Sample,,,
2020/03/22 00:18:00,11.7,13.1,1.8,10.19,77.6,6.4,Sample,,,
2020/03/22 00:19:00,12.3,12.9,1.8,10.16,77.5,6.4,Sample,,,
2020/03/22 00:20:00,12.0,12.8,1.8,10.11,77.5,6.3,Sample,,,
2020/03/22 00:21:00,11.9,12.8,1.9,10.11,77.5,6.3,Sample,,,
2020/03/22 00:22:00,11.5,13.2,1.9,10.10,77.5,6.3,Sample,,,
2020/03/22 00:23:00,11.1,13.5,2.0,10.10,77.5,6.3,Sample,,,
2020/03/22 00:24:00,11.0,13.1,1.9,10.10,77.5,6.3,Sample,,,
2020/03/22 00:25:00,10.3,13.4,1.9,10.10,77.5,6.3,Sample,,,
2020/03/22 00:26:00,10.2,13.8,2.0,10.10,77.5,6.3,Sample,,,
2020/03/22 00:27:00,11.5,12.6,2.0,10.10,77.5,6.3,Sample,,,
2020/03/22 00:28:00,11.9,12.3,2.0,10.10,77.5,6.3,Sample,,,
2020/03/22 00:29:00,11.9,12.6,1.9,10.10,77.5,6.3,Sample,,,
2020/03/22 00:30:00,11.5,12.1,2.0,10.10,77.5,6.3,Sample,,,
2020/03/22 00:31:00,11.9,12.4,2.0,10.07,77.5,6.3,Sample,,,
2020/03/22 00:32:00,12.9,11.1,2.0,10.07,77.6,6.3,Sample,,,
2020/03/22 00:33:00,15.4,8.4,2.0,10.09,77.8,6.4,Sample,,,
2020/03/22 00:34:00,14.4,8.8,1.9,10.00,77.4,6.2,Sample,,,
2020/03/22 00:35:00,13.8,9.4,2.0,9.98,77.4,6.2,Sample,,,
2020/03/22 00:36:00,14.0,8.6,2.0,9.90,78.7,6.4,Sample,,,
2020/03/22 00:37:00,12.5,7.6,1.8,9.89,78.8,6.4,Sample,,,
2020/03/22 00:38:00,11.7,7.0,1.9,9.88,79.2,6.4,Sample,,,
2020/03/22 00:39:00,10.2,6.8,1.9,9.90,79.5,6.5,Sample,,,
2020/03/22 00:40:00,9.2,8.7,2.1,9.90,80.0,6.6,Sample,,,
2020/03/22 00:41:00,9.3,10.1,2.1,9.90,79.6,6.5,Sample,,,
2020/03/22 00:42:00,10.7,10.6,2.2,9.90,78.8,6.4,Sample,,,
2020/03/22 00:43:00,11.6,10.5,2.0,9.91,78.7,6.4,Sample,,,
2020/03/22 00:44:00,12.7,9.5,2.0,9.88,78.8,6.4,Sample,,,
2020/03/22 00:45:00,13.1,9.4,2.1,9.80,78.8,6.3,Sample,,,
2020/03/22 00:46:00,13.9,9.8,2.0,9.80,79.1,6.4,Sample,,,
2020/03/22 00:47:00,13.5,10.2,2.1,9.80,79.2,6.4,Sample,,,
2020/03/22 00:48:00,13.9,10.2,2.0,9.80,79.0,6.3,Sample,,,
2020/03/22 00:49:00,14.0,9.9,1.9,9.74,78.7,6.2,Sample,,,
2020/03/22 00:50:00,13.9,10.1,1.9,9.71,79.1,6.3,Sample,,,
2020/03/22 00:51:00,13.9,9.8,2.0,9.68,79.4,6.3,Sample,,,
2020/03/22 00:52:00,14.1,9.9,1.9,9.61,79.5,6.2,Sample,,,
2020/03/22 00:53:00,13.2,10.3,1.9,9.60,79.8,6.3,Sample,,,
2020/03/22 00:54:00,12.9,10.2,2.1,9.60,79.8,6.3,Sample,,,
2020/03/22 00:55:00,12.7,10.0,1.9,9.60,79.9,6.3,Sample,,,
