Harvey Mudd College · AQY BD-1161 (AQY BD-1161)
Data export
4/12/2020 12:00 AM to 4/13/2020 12:00 AM
(UTC-08:00) Pacific Time (US & Canada) (Summer time adjusted)
Averaging period: Raw data

Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet,Journal category,Created by,Details
2020/04/12 00:00:00,2.3,28.9,3.9,12.90,83.8,10.2,Sample,,,
2020/04/12 00:01:00,2.1,28.3,3.6,12.90,83.6,10.2,Sample,,,
2020/04/12 00:02:00,-0.9,31.6,3.8,12.90,83.3,10.1,Sample,,,
2020/04/12 00:03:00,0.4,31.1,3.6,12.90,83.4,10.2,Sample,,,
2020/04/12 00:04:00,1.9,30.9,3.7,12.90,83.4,10.2,Sample,,,
2020/04/12 00:05:00,3.9,30.7,3.6,12.88,83.6,10.2,Sample,,,
2020/04/12 00:06:00,4.3,29.9,3.5,12.89,83.6,10.2,Sample,,,
2020/04/12 00:07:00,3.9,30.2,3.8,12.89,83.6,10.2,Sample,,,
2020/04/12 00:08:00,5.8,28.0,3.7,12.88,83.7,10.2,Sample,,,
2020/04/12 00:09:00,13.8,20.2,3.6,12.90,83.9,10.2,Sample,,,
2020/04/12 00:10:00,9.4,23.4,3.6,12.94,83.9,10.3,Sample,,,
2020/04/12 00:11:00,2.1,29.3,3.6,12.95,83.5,10.2,Sample,,,
2020/04/12 00:12:00,2.7,28.6,3.7,12.97,83.4,10.2,Sample,,,
2020/04/12 00:13:00,2.2,27.9,3.7,12.93,83.0,10.1,Sample,,,
2020/04/12 00:14:00,2.1,28.5,3.7,12.91,83.1,10.1,Sample,,,
2020/04/12 00:15:00,5.0,26.1,3.9,12.95,83.4,10.2,Sample,,,
2020/04/12 00:16:00,5.5,25.1,3.5,12.96,83.3,10.2,Sample,,,
2020/04/12 00:17:00,3.0,27.1,3.5,12.94,83.2,10.2,Sample,,,
2020/04/12 00:18:00,0.7,30.5,3.7,12.98,83.2,10.2,Sample,,,
2020/04/12 00:19:00,-0.4,31.9,3.5,12.94,82.9,10.1,Sample,,,
2020/04/12 00:20:00,-1.0,33.4,3.5,12.92,82.7,10.0,Sample,,,
2020/04/12 00:21:00,-0.1,34.4,3.5,12.90,82.7,10.0,Sample,,,
2020/04/12 00:22:00,3.3,31.8,3.7,12.90,82.6,10.0,Sample,,,
2020/04/12 00:23:00,9.5,26.2,3.6,12.87,83.1,10.1,Sample,,,
2020/04/12 00:24:00,5.1,30.9,3.5,12.82,82.6,9.9,Sample,,,
2020/04/12 00:25:00,4.0,32.1,3.6,12.80,83.1,10.0,Sample,,,
2020/04/12 00:26:00,3.6,32.6,3.3,12.80,82.7,9.9,Sample,,,
2020/04/12 00:27:00,2.9,33.7,3.5,12.80,82.8,9.9,Sample,,,
2020/04/12 00:28:00,4.4,32.3,3.6,12.80,83.0,10.0,Sample,,,
