Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet
2/5/2020 15:00,28.3,0,1.4,19.41,12.5,-10.2,Sample
2/5/2020 15:01,23.5,6.5,1.3,19.49,12.8,-9.9,Sample
2/5/2020 15:02,8.1,24.8,1.5,19.78,12.8,-9.7,Sample
2/5/2020 15:03,14,22.7,1.7,19.9,12.7,-9.6,Sample
2/5/2020 15:05,30,0,1.3,19.39,12,-10.8,Sample
2/5/2020 15:06,17.7,15.1,1.5,18.67,11.8,-11.6,Sample
2/5/2020 15:07,11.4,26,1.3,18.26,12.3,-11.3,Sample
2/5/2020 15:08,21.8,24.9,1.4,18.31,12.6,-11.1,Sample
2/5/2020 15:09,26.4,24.2,1.3,18.71,12.5,-10.8,Sample
2/5/2020 15:10,26.3,24.5,1.1,19.06,12.6,-10.5,Sample
2/5/2020 15:11,31.3,20.1,1.1,18.93,11.8,-11.3,Sample
2/5/2020 15:12,29.7,23.3,1.2,18.93,12.6,-10.5,Sample
2/5/2020 15:13,30.1,23.8,1.3,19.18,12.9,-10,Sample
2/5/2020 15:14,29.8,23.2,1.2,19.27,12.6,-10.3,Sample
2/5/2020 15:15,28.4,24,1.1,19.35,13.3,-9.6,Sample
2/5/2020 15:16,31.9,21.7,1.3,19.68,13.7,-8.9,Sample
2/5/2020 15:17,26.9,25,1.3,19.84,12.6,-9.9,Sample
2/5/2020 15:18,21.7,28.6,1.1,19.66,12.5,-10.1,Sample
2/5/2020 15:19,20.8,30.5,1.2,19.69,14.2,-8.4,Sample
2/5/2020 15:20,28.8,23.6,1.2,19.7,13.7,-8.9,Sample
2/5/2020 15:21,23.1,28,1.2,19.66,13.6,-9,Sample
2/5/2020 15:22,25.8,25.5,1.3,19.44,13.3,-9.5,Sample
2/5/2020 15:23,24.9,25.2,2,19.42,13.2,-9.6,Sample
2/5/2020 15:24,26.7,24.3,1.5,19.57,13.8,-8.9,Sample
2/5/2020 15:25,37.1,15.2,1.4,19.53,15.4,-7.5,Sample
2/5/2020 15:26,33.9,17.8,1.4,19.3,14.2,-8.7,Sample
2/5/2020 15:27,23.9,26.7,1.5,19.1,14.2,-8.9,Sample
2/5/2020 15:28,21.9,27.9,1.5,18.93,14.8,-8.5,Sample
2/5/2020 15:29,30.3,23.2,1.4,19.08,15.9,-7.5,Sample
2/5/2020 15:30,32,21,1.5,19.28,15.4,-7.7,Sample
2/5/2020 15:31,28.5,23.4,1.3,19.39,15.2,-7.8,Sample
2/5/2020 15:32,21.8,27.6,1.5,19.38,13.8,-9,Sample
2/5/2020 15:33,18.2,30.5,1.3,19.4,13.4,-9.4,Sample
2/5/2020 15:34,20.5,29.1,1.5,19.42,13.1,-9.6,Sample
2/5/2020 15:35,19.8,30.8,1.3,19.63,13.5,-9.1,Sample
