Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet
2/5/2020 14:58,,,1.1,19.52,12.9,-9.8,Sample
2/5/2020 14:59,44.3,2.9,1.2,19.27,13.1,-9.8,Sample
2/5/2020 15:00,14.5,33.4,1.2,18.92,12.8,-10.4,Sample
2/5/2020 15:01,24.2,27.3,1.1,18.8,12.9,-10.3,Sample
2/5/2020 15:02,29.6,23.8,1.2,18.69,12.7,-10.6,Sample
2/5/2020 15:03,27.6,25.2,1.2,18.5,12.6,-10.8,Sample
2/5/2020 15:04,29.1,25.1,1.2,18.45,13.1,-10.4,Sample
2/5/2020 15:05,29.6,24.8,1.3,18.29,12.8,-10.8,Sample
2/5/2020 15:06,27.3,26.8,1.2,17.77,12.4,-11.6,Sample
2/5/2020 15:07,28,26.9,1.2,17.5,12.6,-11.6,Sample
2/5/2020 15:08,29.6,25.8,1.1,17.53,13.1,-11.2,Sample
2/5/2020 15:09,30.8,24.4,1.2,17.67,12.9,-11.3,Sample
2/5/2020 15:10,26.8,27.6,1.3,17.79,12.9,-11.2,Sample
2/5/2020 15:11,23.8,30.1,1.2,17.57,12.3,-11.9,Sample
2/5/2020 15:12,22.9,30.9,1.1,17.41,12.5,-11.8,Sample
2/5/2020 15:13,24.7,29.7,1.1,17.5,12.9,-11.4,Sample
2/5/2020 15:14,25,29.6,1.2,17.42,12.7,-11.6,Sample
2/5/2020 15:15,25,30,1.2,17.38,12.9,-11.5,Sample
2/5/2020 15:16,25.6,29.7,1.1,17.56,13.8,-10.4,Sample
2/5/2020 15:17,25.3,29.3,1.1,17.71,13.1,-11,Sample
2/5/2020 15:18,23.3,30.9,1.1,17.57,13,-11.2,Sample
2/5/2020 15:19,27.1,27.8,1.1,17.67,15.6,-8.8,Sample
2/5/2020 15:20,30.3,24.9,1.2,17.76,13.7,-10.4,Sample
2/5/2020 15:21,25.6,28.1,1.4,17.8,13.8,-10.3,Sample
2/5/2020 15:22,23.5,29.5,1.6,17.78,13.3,-10.8,Sample
2/5/2020 15:23,23.7,29.4,1.4,17.68,13.2,-10.9,Sample
2/5/2020 15:24,34.1,21.3,1.3,17.81,16,-8.4,Sample
2/5/2020 15:25,33.5,22.1,1.4,17.98,13.5,-10.4,Sample
2/5/2020 15:26,22.5,31.1,1.3,17.91,13.1,-10.8,Sample
2/5/2020 15:27,22.5,31.1,1.5,17.65,12.9,-11.2,Sample
2/5/2020 15:28,28.1,27.4,1.6,17.59,14.8,-9.6,Sample
2/5/2020 15:29,30.3,25.3,1.5,17.71,13.7,-10.5,Sample
2/5/2020 15:30,23.9,29.5,1.5,17.85,13.8,-10.2,Sample
2/5/2020 15:31,27.1,27.2,1.5,18.01,14,-9.9,Sample
2/5/2020 15:32,23.5,29.7,1.7,17.88,13.5,-10.5,Sample
2/5/2020 15:33,22.5,30.5,1.5,17.64,13.4,-10.8,Sample
2/5/2020 15:34,23.8,30.3,1.3,17.55,13.6,-10.6,Sample
2/5/2020 15:35,24.1,30.5,1.4,17.6,13.9,-10.3,Sample
2/5/2020 15:36,24.7,29.3,1.4,17.66,13.7,-10.5,Sample
2/5/2020 15:37,24.6,29.3,1.4,17.68,13.9,-10.3,Sample
2/5/2020 15:38,24,30.1,1.5,17.61,14.2,-10.1,Sample
2/5/2020 15:39,25.3,29.1,1.4,17.81,14.9,-9.3,Sample
2/5/2020 15:40,24.8,29,1.5,18.08,14.5,-9.5,Sample
2/5/2020 15:41,23.1,30.1,1.5,18.06,14.1,-9.8,Sample
2/5/2020 15:42,21.8,30.6,1.5,17.91,13.9,-10.1,Sample
2/5/2020 15:43,22.6,29.7,1.5,17.83,13.8,-10.2,Sample
2/5/2020 15:44,22.5,30.2,1.3,17.7,13.6,-10.5,Sample
2/5/2020 15:45,22.8,30.5,1.4,17.56,13.7,-10.6,Sample
2/5/2020 15:46,23.1,31.4,1.3,17.4,13.8,-10.6,Sample
2/5/2020 15:47,24.9,30.8,1.6,17.23,13.9,-10.6,Sample
2/5/2020 15:48,25.5,30.5,1.4,17.15,14.2,-10.4,Sample
2/5/2020 15:49,25.2,30.6,1.4,17.18,14.6,-10.1,Sample
2/5/2020 15:50,24.8,30.9,1.4,17.19,14.6,-10.1,Sample
2/5/2020 15:51,25,30.8,1.4,17.18,14.2,-10.4,Sample
2/5/2020 15:52,24.8,30.5,1.4,17.19,14.4,-10.2,Sample
2/5/2020 15:53,24.8,30.3,1.3,17.36,14.8,-9.7,Sample
2/5/2020 15:54,23.2,31.2,1.4,17.32,14.7,-9.9,Sample
2/5/2020 15:55,22.4,31.6,1.4,17.2,14.9,-9.8,Sample
2/5/2020 15:56,37.6,18.1,1.4,17.27,14.9,-9.7,Sample
2/5/2020 15:57,37.3,18.5,1.5,17.3,15.1,-9.6,Sample
2/5/2020 15:58,35.4,20.4,1.6,17.24,15.2,-9.5,Sample
