UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm2.5_aqi_atm,pm2.5_aqi_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm2.5_aqi_atm_b,pm2.5_aqi_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2020/02/05T23:01:08z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,71,12,16,971.53,nan,38448,0,115,3,4.14,4.14,3,4.14,4.14,17,17,690.59,199.57,16.59,1.69,0,0,0.15,0.19,2.88,0.15,0.19,2.88,1,1,187.5,46.94,8.46,6.25,2.96,1.46,
2020/02/05T23:03:08z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,74,11,16,971.51,0.04,36504,0,235,1.94,2.19,2.42,1.94,2.19,2.42,9,9,611.64,174.22,9.85,0.75,0,0,0.87,1.16,4.39,0.87,1.16,4.39,5,5,374.17,93.29,12.81,8.87,2.43,0.35,
2020/02/05T23:05:07z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,75,10,16,971.55,0.04,36504,0,355,2.29,2.67,2.75,2.29,2.67,2.75,11,11,666,189.58,10.93,0.64,0,0,2.32,3.29,9.77,2.32,3.29,9.77,14,14,631.55,173.89,29.06,16.39,3.21,1.48,
2020/02/05T23:07:07z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,77,10,17,971.56,0.04,35880,0,475,2.4,3.11,3.83,2.4,3.11,3.83,13,13,669.69,189.91,13.61,2.03,0.86,0.86,3.91,5.37,11.42,3.91,5.37,11.42,22,22,885.6,246.05,32.12,17.08,1.69,1.32,
2020/02/05T23:09:07z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,80,9,17,971.44,0.04,36504,0,595,2.16,2.83,2.83,2.16,2.83,2.83,12,12,622.41,179.61,7.3,1.31,0,0,5.81,7.84,14,5.81,7.84,14,33,33,1281.22,352.35,36.18,16.24,3.03,2,
2020/02/05T23:11:07z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,78,8,15,971.46,0.04,36504,0,715,2.28,2.7,3.43,2.28,2.7,3.43,11,11,591.13,171.52,13.3,2.28,0.49,0.49,12.82,14.48,19.71,12,14.29,19.71,56,56,2484.97,716.49,35.26,15.14,1.02,0.58,
2020/02/05T23:13:07z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,81,8,14,971.47,0.04,36504,0,835,1.93,2.54,2.54,1.93,2.54,2.54,11,11,570.49,160.69,12.49,0.76,0,0,4.16,5.69,11.49,4.16,5.69,11.49,24,24,1005.79,261.9,35.09,17.26,1.32,0.18,
2020/02/05T23:15:07z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,82,8,15,971.55,0.04,36504,0,955,2.01,2.34,3.3,2.01,2.34,3.3,10,10,577.37,167.83,11.4,1.43,1.43,0.97,3.85,4.67,10.48,3.85,4.67,10.48,19,19,956.42,246.91,30,15.49,1.1,1.1,
2020/02/05T23:17:07z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,82,8,14,971.62,0.04,36504,0,1075,2.42,2.84,2.96,2.42,2.84,2.96,12,12,590.87,174.36,10.55,0.78,0,0,6.43,8.54,13.52,6.43,8.54,13.52,36,36,1412.72,364.69,41.32,14.03,0.74,0.37,
2020/02/05T23:19:07z,84:f3:eb:d7:e9:2c,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,83,7,15,971.61,0.04,36504,0,1195,1.79,2.68,2.81,1.79,2.68,2.81,11,11,600.13,173.46,13.88,0.26,0.26,0,4.76,7.58,9.16,4.76,7.58,9.16,32,32,1104.45,294.97,32.75,4.96,0.87,0.54,
