Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet
1/27/2020 10:05,,,35.4,16.5,50.7,6.2,Sample
1/27/2020 10:06,27.7,0,36.1,16.28,51.4,6.2,Sample
1/27/2020 10:07,1,28.1,36.1,15.99,52.9,6.4,Sample
1/27/2020 10:08,11.6,21,35.5,15.83,52.6,6.1,Sample
1/27/2020 10:09,11.9,21.6,36.4,15.66,52.9,6.1,Sample
1/27/2020 10:10,20.1,16.5,35.8,15.54,53,6,Sample
1/27/2020 10:11,22.5,15.7,36.6,15.41,53.7,6.1,Sample
1/27/2020 10:12,26,12.9,38.1,15.36,54.4,6.2,Sample
1/27/2020 10:13,26.3,12.8,37.9,15.3,54.9,6.3,Sample
1/27/2020 10:14,25.8,13.9,39.3,15.25,55.4,6.4,Sample
1/27/2020 10:15,23.4,16.1,37.7,15.16,53.9,5.9,Sample
1/27/2020 10:16,20.8,17.7,36.2,15.09,53.6,5.7,Sample
1/27/2020 10:17,20.5,17.7,36.1,15.02,53.5,5.6,Sample
1/27/2020 10:18,20.6,17.3,35.1,15.01,53.2,5.5,Sample
1/27/2020 10:19,23.9,14.4,35.3,15.08,53,5.5,Sample
1/27/2020 10:20,40.5,0,35,15.04,53.3,5.6,Sample
1/27/2020 10:21,31.5,8.3,35.1,15.02,53.6,5.7,Sample
1/27/2020 10:22,15.3,22.9,34.9,15.09,53.8,5.8,Sample
1/27/2020 10:23,16.4,21.1,36.1,15.21,55.3,6.3,Sample
1/27/2020 10:24,17,20.3,36.5,15.35,55.3,6.4,Sample
1/27/2020 10:25,19.3,18,36.5,15.43,54.4,6.3,Sample
1/27/2020 10:26,18.9,17.5,37.8,15.5,54.4,6.3,Sample
1/27/2020 10:27,15.7,20,36.6,15.5,53.5,6.1,Sample
1/27/2020 10:28,15.4,19.2,38.6,15.48,53.3,6,Sample
1/27/2020 10:29,18.5,17.2,37.5,15.5,53.4,6.1,Sample
1/27/2020 10:30,18.5,17.7,36,15.53,52.8,5.9,Sample
1/27/2020 10:31,17.8,18.1,35,15.55,52.4,5.8,Sample
1/27/2020 10:32,15.8,19.9,32.4,15.58,51.7,5.7,Sample
1/27/2020 10:33,14.3,21.6,31.1,15.63,50.3,5.3,Sample
1/27/2020 10:34,12.7,22.9,31.9,15.7,50,5.3,Sample
1/27/2020 10:35,12.1,23.7,31,15.73,50,5.3,Sample
1/27/2020 10:36,13.2,23.4,31.6,15.72,50,5.3,Sample
1/27/2020 10:37,15.4,23.1,30.8,15.7,50,5.3,Sample
1/27/2020 10:38,15.5,25.2,28.9,15.68,50,5.3,Sample
1/27/2020 10:39,15.8,25.8,28.9,15.6,49.9,5.2,Sample
1/27/2020 10:40,18.2,24.1,29,15.6,49.9,5.2,Sample
1/27/2020 10:41,18.5,24.3,29.7,15.6,49.9,5.2,Sample
1/27/2020 10:42,19.1,24.3,29.9,15.64,49.9,5.2,Sample
1/27/2020 10:43,19.9,24,30.3,15.72,49.9,5.3,Sample
1/27/2020 10:44,17.8,25.8,30.5,15.77,49.3,5.2,Sample
1/27/2020 10:45,19.3,24.6,30.2,15.76,49.5,5.2,Sample
1/27/2020 10:46,19.7,24.4,30,15.84,50.1,5.4,Sample
1/27/2020 10:47,18.6,25.6,30.7,15.95,50.1,5.6,Sample
1/27/2020 10:48,20.6,22.9,30.8,16.07,50.2,5.7,Sample
1/27/2020 10:49,21.4,22,31.6,16.1,49.2,5.4,Sample
1/27/2020 10:50,20.9,21.6,31.1,16.1,49,5.4,Sample
1/27/2020 10:51,18.9,21.7,30,16.13,49.2,5.5,Sample
1/27/2020 10:52,13.8,24.9,29.7,16.15,48.8,5.4,Sample
1/27/2020 10:53,13,26.9,30,16.2,48.5,5.3,Sample
1/27/2020 10:54,15.9,25.7,29.3,16.2,48.1,5.2,Sample
